Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
63.1,4/21/2026 10:50:43 AM,7387,109.9,0.1445,117.6,0.3918,0.5245,1.532,0,0,0,100,16.28,0.2528,404.4,200,1,0,0.3562,1,1,1,1,1,1,1,4,4,-1,[ OK ]
63.5,4/21/2026 10:50:44 AM,7387,109.9,0.1445,118.5,0.3847,0.5245,1.531,0,0,0,100,16.28,0.2552,404.4,200,1,0,0.3488,1,1,1,1,1,1,1,4,4,-1,[ OK ]
63.9,4/21/2026 10:50:44 AM,7388,109.9,0.1446,118.7,0.3854,0.5248,1.527,0,0,0,100,16.28,0.2552,404.3,200,1,0,0.3298,1,1,1,1,1,1,1,4,4,-1,[ OK ]
64.5,4/21/2026 10:50:45 AM,7388,109.9,0.1451,118.2,0.3918,0.5249,1.526,0,0,0,100,16.28,0.2539,404.4,200,1,0,0.3351,1,1,1,1,1,1,1,4,4,-1,[ OK ]
64.9,4/21/2026 10:50:45 AM,7389,109.9,0.145,118.9,0.3825,0.5248,1.527,0,0,0,100,16.28,0.2544,404.3,200,1,0,0.3403,1,1,1,1,1,1,1,4,4,-1,[ OK ]
65.3,4/21/2026 10:50:46 AM,7389,109.9,0.1454,118.3,0.382,0.5243,1.531,0,0,0,100,16.28,0.2531,404.4,200,1,0,0.3343,1,1,1,1,1,1,1,4,4,-1,[ OK ]
65.7,4/21/2026 10:50:46 AM,7389,109.9,0.1452,119.3,0.3849,0.5244,1.53,0,0,0,100,16.28,0.2534,404,200,1,0,0.3345,1,1,1,1,1,1,1,4,4,-1,[ OK ]
66.1,4/21/2026 10:50:46 AM,7390,109.9,0.1455,118.7,0.3823,0.5245,1.528,0,0,0,100,16.28,0.2545,404.1,200,1,0,0.3299,1,1,1,1,1,1,1,4,4,-1,[ OK ]
66.5,4/21/2026 10:50:47 AM,7390,109.9,0.1455,119.4,0.3836,0.525,1.522,0,0,0,100,16.28,0.2532,404,200,1,0,0.332,1,1,1,1,1,1,1,4,4,-1,[ OK ]
67.1,4/21/2026 10:50:47 AM,7391,109.9,0.1457,119.1,0.3838,0.5242,1.531,0,0,0,100,16.28,0.2531,404,200,1,0,0.3311,1,1,1,1,1,1,1,4,4,-1,[ OK ]
67.6,4/21/2026 10:50:48 AM,7391,109.9,0.1457,119.6,0.3729,0.5242,1.531,0,0,0,100,16.28,0.2523,404,200,1,0,0.3366,1,1,1,1,1,1,1,4,4,-1,[ OK ]
68.1,4/21/2026 10:50:48 AM,7392,109.9,0.146,119,0.379,0.5247,1.525,0,0,0,100,16.28,0.2548,404.4,200,1,0,0.3353,1,1,1,1,1,1,1,4,4,-1,[ OK ]
68.6,4/21/2026 10:50:49 AM,7392,109.9,0.146,119.4,0.3847,0.5245,1.527,0,0,0,100,16.28,0.2542,404.3,200,1,0,0.3514,1,1,1,1,1,1,1,4,4,-1,[ OK ]
